persona_idno,persona_x_lugares_id,documento_idno,lugar_id,situacion_lugar,ordinal
mx-sv-per-000270,273,mx-sv-doc-000067,22,vecino,1
mx-sv-per-000271,274,mx-sv-doc-000067,22,vecino,1
mx-sv-per-000272,275,mx-sv-doc-000067,22,vecino,1
mx-sv-per-000273,276,mx-sv-doc-000067,22,vecino,1
mx-sv-per-000274,277,mx-sv-doc-000068,30,,-2
mx-sv-per-000274,278,mx-sv-doc-000068,38,,-1
mx-sv-per-000275,279,mx-sv-doc-000068,38,vecino,1
mx-sv-per-000277,280,mx-sv-doc-000068,30,vecino,1
mx-sv-per-000278,281,mx-sv-doc-000069,22,,-1
mx-sv-per-000278,282,mx-sv-doc-000069,22,,1
mx-sv-per-000279,283,mx-sv-doc-000069,22,vecino,1
mx-sv-per-000280,284,mx-sv-doc-000069,22,vecino,1
mx-sv-per-000281,285,mx-sv-doc-000070,24,,-1
mx-sv-per-000281,286,mx-sv-doc-000070,22,,1
mx-sv-per-000282,287,mx-sv-doc-000070,24,vecino,1
mx-sv-per-000283,288,mx-sv-doc-000070,24,vecino,1
mx-sv-per-000284,289,mx-sv-doc-000070,22,vecino,1
mx-sv-per-000285,290,mx-sv-doc-000071,22,,-1
mx-sv-per-000286,291,mx-sv-doc-000071,22,vecino,1
mx-sv-per-000289,292,mx-sv-doc-000072,39,,-1
mx-sv-per-000289,293,mx-sv-doc-000072,21,,1
mx-sv-per-000290,294,mx-sv-doc-000072,39,vecino,1
mx-sv-per-000291,295,mx-sv-doc-000072,22,vecino,1
mx-sv-per-000237,296,mx-sv-doc-000073,29,vecino,1
mx-sv-per-000293,297,mx-sv-doc-000073,22,,1
mx-sv-per-000294,298,mx-sv-doc-000073,22,vecino,1
mx-sv-per-000296,299,mx-sv-doc-000074,40,lugar anterior 1,-1
mx-sv-per-000296,300,mx-sv-doc-000074,22,,1
mx-sv-per-000297,301,mx-sv-doc-000074,40,vecino,1
mx-sv-per-000298,302,mx-sv-doc-000074,22,vecino,1
mx-sv-per-000299,303,mx-sv-doc-000075,22,lugar anterior 1,-1
mx-sv-per-000300,304,mx-sv-doc-000075,22,vecino,1
mx-sv-per-000301,305,mx-sv-doc-000076,22,lugar anterior 1,-1
mx-sv-per-000301,306,mx-sv-doc-000076,22,,1
mx-sv-per-000302,307,mx-sv-doc-000076,22,vecino,1
mx-sv-per-000197,308,mx-sv-doc-000076,22,,1
mx-sv-per-000303,309,mx-sv-doc-000077,22,lugar anterior 1,-1
mx-sv-per-000303,310,mx-sv-doc-000077,22,,1
mx-sv-per-000304,311,mx-sv-doc-000077,22,,1
mx-sv-per-000305,312,mx-sv-doc-000077,22,,1
mx-sv-per-000306,313,mx-sv-doc-000077,22,vecino,1
mx-sv-per-000307,314,mx-sv-doc-000078,22,lugar anterior 1,-1
mx-sv-per-000307,315,mx-sv-doc-000078,22,,1
mx-sv-per-000308,316,mx-sv-doc-000078,22,vecino,1
mx-sv-per-000309,317,mx-sv-doc-000078,22,vecino,1
mx-sv-per-000310,318,mx-sv-doc-000078,22,vecino,1
mx-sv-per-000311,319,mx-sv-doc-000079,22,vecino,-1
mx-sv-per-000311,320,mx-sv-doc-000079,27,,1
mx-sv-per-000312,321,mx-sv-doc-000079,22,vecino,1
mx-sv-per-000313,322,mx-sv-doc-000079,27,vecino,1
mx-sv-per-000314,323,mx-sv-doc-000079,22,vecino,1
mx-sv-per-000315,324,mx-sv-doc-000080,22,,1
mx-sv-per-000316,324,mx-sv-doc-000080,22,,1
mx-sv-per-000317,324,mx-sv-doc-000080,22,,1
mx-sv-per-000318,325,mx-sv-doc-000080,21,Residente,1
mx-sv-per-000319,326,mx-sv-doc-000080,22,vecino,1
mx-sv-per-000322,327,mx-sv-doc-000081,3,vecino,1
mx-sv-per-000323,328,mx-sv-doc-000081,3,vecino,1
mx-sv-per-000320,329,mx-sv-doc-000081,1,lugar anterior 1,-1
mx-sv-per-000321,329,mx-sv-doc-000081,1,lugar anterior 1,-1
mx-sv-per-000320,330,mx-sv-doc-000081,22,,1
mx-sv-per-000321,330,mx-sv-doc-000081,22,,1
mx-sv-per-000325,331,mx-sv-doc-000082,22,lugar anterior 1,-1
mx-sv-per-000325,332,mx-sv-doc-000082,41,,1
mx-sv-per-000326,333,mx-sv-doc-000082,22,vecino,1
mx-sv-per-000327,334,mx-sv-doc-000082,41,Residente,1
mx-sv-per-000173,335,mx-sv-doc-000083,22,Residente,1
mx-sv-per-000331,336,mx-sv-doc-000083,22,vecino,1
mx-sv-per-000331,337,mx-sv-doc-000083,22,vecino,1
mx-sv-per-000329,338,mx-sv-doc-000083,22,,1
mx-sv-per-000332,339,mx-sv-doc-000084,41,,-1
mx-sv-per-000332,340,mx-sv-doc-000084,3,,1
mx-sv-per-000335,341,mx-sv-doc-000084,41,,1
mx-sv-per-000336,342,mx-sv-doc-000084,3,Vecindad,1
mx-sv-per-000337,343,mx-sv-doc-000084,3,Vecindad,1
mx-sv-per-000339,344,mx-sv-doc-000085,3,,1
mx-sv-per-000339,345,mx-sv-doc-000085,3,,-1
mx-sv-per-000340,346,mx-sv-doc-000085,3,Residencia,1
mx-sv-per-000341,347,mx-sv-doc-000085,3,Vecindad,1
mx-sv-per-000344,348,mx-sv-doc-000085,3,,-1
mx-sv-per-000345,349,mx-sv-doc-000086,3,,-1
mx-sv-per-000345,350,mx-sv-doc-000086,3,,1
mx-sv-per-000346,351,mx-sv-doc-000086,3,Vecindad,1
mx-sv-per-000349,352,mx-sv-doc-000087,41,lugar anterior 1,-1
mx-sv-per-000349,353,mx-sv-doc-000087,22,,1
mx-sv-per-000350,354,mx-sv-doc-000087,41,vecino,1
mx-sv-per-000351,355,mx-sv-doc-000087,22,vecino,1
mx-sv-per-000312,356,mx-sv-doc-000087,22,vecino,1
mx-sv-per-000352,357,mx-sv-doc-000088,22,lugar anterior 1,-1
mx-sv-per-000352,358,mx-sv-doc-000088,22,,1
mx-sv-per-000353,359,mx-sv-doc-000088,22,vecino,1
mx-sv-per-000354,360,mx-sv-doc-000088,22,vecino,1
mx-sv-per-000355,361,mx-sv-doc-000089,42,lugar anterior 1,-1
mx-sv-per-000355,362,mx-sv-doc-000089,22,,1
mx-sv-per-000356,363,mx-sv-doc-000089,42,vecino,1
mx-sv-per-000357,364,mx-sv-doc-000089,22,Residente,1
mx-sv-per-000358,365,mx-sv-doc-000089,22,vecino,1
mx-sv-per-000359,366,mx-sv-doc-000090,22,lugar anterior 1,-1
mx-sv-per-000359,367,mx-sv-doc-000090,22,,1
mx-sv-per-000360,368,mx-sv-doc-000090,22,vecino,1
mx-sv-per-000361,369,mx-sv-doc-000090,22,vecino,1
mx-sv-per-000362,370,mx-sv-doc-000091,22,lugar anterior 1,-1
mx-sv-per-000362,371,mx-sv-doc-000091,22,,1
mx-sv-per-000364,372,mx-sv-doc-000091,22,vecino,1
mx-sv-per-000365,373,mx-sv-doc-000091,22,vecino,1
mx-sv-per-000369,374,mx-sv-doc-000092,22,lugar anterior 1,-1
mx-sv-per-000370,374,mx-sv-doc-000092,22,lugar anterior 1,-1
mx-sv-per-000366,374,mx-sv-doc-000092,22,lugar anterior 1,-1
mx-sv-per-000367,374,mx-sv-doc-000092,22,lugar anterior 1,-1
mx-sv-per-000369,375,mx-sv-doc-000092,22,,1
mx-sv-per-000370,375,mx-sv-doc-000092,22,,1
mx-sv-per-000366,375,mx-sv-doc-000092,22,,1
mx-sv-per-000367,375,mx-sv-doc-000092,22,,1
mx-sv-per-000371,376,mx-sv-doc-000092,22,vecino,1
mx-sv-per-000372,377,mx-sv-doc-000092,22,vecino,1
mx-sv-per-000368,378,mx-sv-doc-000093,2,lugar anterior 1,-1
mx-sv-per-000373,378,mx-sv-doc-000093,2,lugar anterior 1,-1
mx-sv-per-000368,379,mx-sv-doc-000093,41,,1
mx-sv-per-000373,379,mx-sv-doc-000093,41,,1
mx-sv-per-000374,380,mx-sv-doc-000093,2,Residente,1
mx-sv-per-000375,381,mx-sv-doc-000093,41,vecino,1
mx-sv-per-000376,382,mx-sv-doc-000093,41,vecino,1
mx-sv-per-000382,383,mx-sv-doc-000094,22,vecino,1
mx-sv-per-000383,384,mx-sv-doc-000094,22,vecino,1
mx-sv-per-000384,385,mx-sv-doc-000094,28,vecino,1
mx-sv-per-000386,386,mx-sv-doc-000094,28,,1
mx-sv-per-000387,386,mx-sv-doc-000094,28,,1
mx-sv-per-000388,386,mx-sv-doc-000094,28,,1
mx-sv-per-000389,386,mx-sv-doc-000094,28,,1
mx-sv-per-000390,386,mx-sv-doc-000094,28,,1
