lugar_id,nombre_lugar,otros_nombres,tipo,es_parte_de_lugar_id,lat,lon
237,Mascota,,pueblo,,20.526130,-104.787810
238,Poncitlán,,villa,,20.358190,-102.925170
239,Teosaqualco,,pueblo,,,
240,Michoacán,,ciudad,,19.166670,-101.833330
241,Hacienda de Buena Vista,,region,,-15.467320,-74.448620
242,Tlajomulco,,villa,,20.492430,-103.429390
243,Tlazazalca,,villa,,19.970850,-102.058420
244,Nuevo León,,gobernacion,,25.566667,-99.970556
245,San Cristobal de la Habana,,ciudad,,,
246,Cuautitlan,,region,,19.886861,-104.105944
247,Jolapa,,real,,21.222500,-98.705280
248,San Miguel en las provincias de Guatemala,,pueblo,,,
249,Ciudad de Guatemala,,ciudad,,14.641667,-90.513333
250,Matamba,,region,,17.317220,-92.562220
251,León,,villa,,21.129080,-101.673740
252,Huehuetoca,,villa,,19.835430,-99.203800
253,Mazapil,,real,,24.360000,-101.930000
254,Santa María de los Lagos,,villa,,-41.342360,-73.211600
255,San Pedro Analco,,real,,21.137972,-103.949861
256,Tlaltenango,,villa,,19.159900,-98.341050
257,Iztapalapa,,villa,,19.355290,-99.062240
258,Atemajac,,villa,,20.142680,-103.711750
259,Jala,,villa,,21.180600,-104.397160
260,Puerto Rico,,isla,,17.659060,-100.656700
261,Campeche,,ciudad,,19.844814,-90.539649
262,San Luis,,ciudad,,22.149722,-100.975000
264,Minas de Sultepeque,,region,,,
265,Caramandi,,region,,,
266,Xofa,,region,,,
267,Texcoco,,ciudad,,19.511940,-98.882930
268,Nación Berberisca,,region,,,
270,tierra Arda,,region,,,
271,Xamarca,,ciudad,,,
272,tierra Joloffe,,region,,,
273,Extramadura,,region,,,
274,España,,region,,19.415000,-99.171389
275,Carabali,,ciudad,,16.806110,-99.170580
276,Durango,,ciudad,,24.833330,-104.833330
277,Aguascalientes,,villa,,21.882340,-102.282590
278,Tepezalá,,real,,22.216667,-102.166667
279,Zamora,,villa,,19.985500,-102.283870
280,Teocaltiche,,pueblo,,21.434210,-102.574490
281,Valle de Caxitlan,,provincia,,,
282,China,,pais,,17.306111,-95.989444
288,India,,pais,,20.472220,-103.262780
290,minas de Guanajuato,,villa,,,
291,Los Angeles,,ciudad,,20.565850,-100.923560
292,Guanajuato,,region,,21.018889,-101.262778
293,Juchipila,,ciudad,,21.383500,-103.105210
295,Nochistlán,,ciudad,,21.441780,-102.850240
296,Villa de Jeréz,,villa,,22.788350,-103.226590
297,Chametla,,real,,22.877500,-105.957500
298,Ameca,,villa,,20.535720,-104.050760
299,Culiacán,,villa,,24.790320,-107.387820
300,Zapotlán,,pueblo,,19.705220,-103.467090
301,Valle de Aguacatitlan,,pueblo,,,
302,Jicotlan,,pueblo,,17.806870,-97.470780
303,Jurisdicción de Nieves,,region,,,
304,Real de Charcas,,villa,,23.189720,-101.069720
305,Zayula,,pueblo,,,
306,"Real de Minas de San Juan de Tepezalá, Jurisdicción de Aguascalientes",,real,,,
307,de San Antonio Tuscacuesco,,pueblo,,,
308,Tangancícuaro,,villa,,19.887330,-102.206360
309,Irapuato,,villa,,20.676750,-101.356280
310,Zapopan,,villa,,20.723560,-103.384790
311,Ajijic,,villa,,20.303250,-103.254760
312,Jiquilpan,,villa,,19.984740,-102.750990
313,Sonora,,region,,29.833333,-110.950000
314,Tacámbaro,,villa,,19.235020,-101.458240
315,Jurisdicción de Colimilla,,region,,,
316,Villa Purificación,,villa,,19.785970,-104.707640
317,Jalpa,,real,,21.216944,-99.474444
318,"Rancho de los Molinos, Jurisdicción de Aguascalientes",,region,,,
319,Jurisdicción de la Barca,,region,,,
320,Villa de Sierra de Pinos y Charcas,,villa,,,
321,Minas del Rosario,,real,,22.990460,-105.866960
322,Tacotlán,,villa,,20.818700,-103.188570
323,Sentispac,,villa,,21.804780,-105.345930
324,Jacona,,pueblo,,19.952320,-102.307810
325,Hacienda de San Andrés,,region,,19.118820,-98.833270
327,Jocotlán,,pueblo,,19.793180,-104.874200
328,Juanacatlán,,villa,,20.498740,-103.149390
329,Salvatierra,,ciudad,,20.215000,-100.878056
330,Cosomaluapan,,pueblo,,,
331,Ayamontes en Castilla,,ciudad,,,
332,"Santa Ana Zegache, Marquesado",,pueblo,,,
333,Ciudad de Panama,,ciudad,,,
334,Tejapa,,villa,,,
335,Los Ríos o entre Ríos (Guinea),,region,,,
338,Venta Los Naranjos (Xalapa),,ciudad,,,
339,Venta Los Naranjos,,pueblo,,,
344,San Juan Teitipac,,pueblo,,,
345,San Juan Chilateca,,pueblo,,,
346,Guadalcazar,,villa,,,
347,Santa Maria Quiegolani,,pueblo,,,
348,Atrisco,,villa,,,
349,Minas de Nieves,,real,,,
350,Hacienda de San Miguel,,region,,,
336,Ouidah,,region,,6.371289,2.076641
337,"La Habana, Cuba",,ciudad,,23.133755,-82.355066
354,Hacienda Toluquilla,,pueblo,,,
341,"Veracruz, La Antigua",,ciudad,,19.180950,-96.142900
359,Matatlán,,villa,,20.710556,-103.148889
342,"Jalpa (de Méndez), Tabasco",,pueblo,362,18.175288,-93.063510
340,"Nuestra Señora de los Remedios, Pacho Viejo",,pueblo,,19.480500,-96.917400
343,"Naolinco, Veracruz",,pueblo,2,19.654706,-96.869880
